Title,Contents,Date
프랜차이즈 닭발집에서 일하는데요..,보건증도 확인 안 하고 알바한지 한달 넘었는데 계약서도 안 쓰는 거 보고 심상치 않은 건 알았는데 진짜 해도해도 너무하네요.. 조금 심하게 갈굼도 당했는데 당일에 그만둔다고 통보해도 될까요?,2025-01-26
오산 수목원로 88번길 33가수동 3층 식자재 물류,식자재 물류 인데 냉동도 들어가나요?오산 삼성웰스토리라고 하던데냉장 냉동 왔다갔다 한다고 하더라구요.여기 후기 글 몇개 봤는데 부장 이라는 사람이 욕한다고 하는데 최근에 다녀오신분 계실까요?어떤지 궁금 하네요.,2025-01-26
자바리쿠르트≪≪여기갈때는 조심하세요,일자체는 어렵지않고 급여도 괜찮은데기존 다니는 사람들의 텃세와 ㅈ목이 심합니다오래다니고 쉬다 오랜만에 갓더니새로운사람들이 고정이랍시고 텃세부리며 욕짓거리하는곳입니다가실땐 오로지 일만 집중해서 하셔여일자체는 정말좋은데 사람이별로인 곳입니다,2025-01-26
편의점 바코드 스캔,손님께서 냉동만두 고기 3개 김치 3개 사가셨는데카운터에 들고 오셔서 몇개지 하고 세보려고 하니까6개라고 말씀해주셔서 그냥 물건 하나(김치만두)를 6번찍어서 결제했습니다결제 다 끝나고 나가신 다음에 물건 채우면서3개 3개씩 사가신 걸 알게됐는데가격은 같은 제품이라서 금액 부분에선 괜찮을 것 같은데재고 관련해서 나중에 사장님께서 발주하고 할 때뭔가 문제가 있을까요.?.?,2025-01-26
첫알바 구하고 있는데 도와주세요..,증명사진을 사진첩 포트폴리오 프로필사진 중에 어디에 올려야 하나요?사진없이 40개 지원했는데 연락이 하나도 안와요 이력서가 부실해서 인가요ㅠㅠ 고등학생입니다,2025-01-26
대형 프차 카페 마감 매니저 때문에 그만 두고싶어요,"오피스 타운에 대형 1층 매장입니다 주5-3일 근무해요.. 매니저 때문에 그만두고 싶어졌는데 제가 일을 못하는 걸까요 제가 입사 두달차인데 항상 마감만 했어요계속 설거지 or 잡일 or 쓰레기 버리기만 시켜서 머신 잡을 기회가 엄청 많진 않았습니다 일하몀 화장실도 안 가고 폰도 안 보고 일하구요 그냥 성실하게 근무했습니다… 손님 가시면 바로 가져와서 설거지 하고 닦고 비워져있으면 채우고 더러우면 닦고 그런데 저는 제가 아직 손도 느리고 실수도 많으니까 머신 잡을 기회가 적은걸 납득하고 레시피도 달달달 외웠어요 그런데 같이 일하는 매니저가 제가 모든 일을 다 끝내서 할 일이 없어보이면 정말 아무 일이나 다 시키더라구요? 뭐 냉장고 닦아라 뭐 쓰레기통이 더러우니까 닦아라… 정말 허리 필 틈도 없이 7시간 근무동안 계속 일을 시킵니다. (앉을 곳 없음) 정말 힘들어도 제가 짬이 젤 낮으니까 참고 버텼어요 싫은 소리도 안 합니다. 근데 새로운 알바생이 들어와도 쓰레기, 설거지 계속 저에게만 시키고(새로운 알바생 교육한다고 저는 처음 들어왔을 때 바로 설거지랑 쓰레기만 버림) 그래도 새로운 알바생이니까 교육해야지 생각하고 그냥 일 했어요근데 이번에 제가 울컥한 일이 생겼습니다. 계속 일이 힘들어서 그만두고싶다고 생각했는데 이번엔 정말 진지하게 고민하게 되었어요 신입분과 저만 있는 상태에서(매니저는 안에 있었음) 샌드위치 주문이 많이 들어왔고 연달아서 음료도 6-7잔이 들어왔습니다. 저는 음료를 만들었고 신입분이 샌드위치를 포장했는데 샌드위치를 그냥 봉투에 넣기만 하고 내용물과 주문번호를 기억을 못 해서 샌드위치를 전부 빼서 하나하나 어떤 종류인지 확인했고 그 과정에서 주문 시간이 지체되어서 주문하신지 7-8분 정도 지났더라고요 주문 시간이 3분이 넘어가면 패드에서 주문번호가 빨간색으로 바뀌고 이게 매장에 안 좋은 평가로 이어진다고 배워서 저도 마음이 조급했습니다. 사실상 이미 샌드위치와 음료 전부 준비가 되어있었는데 완료를 누르지 않고(완료 누르면 손님이 오심) 일일이 봉투에서 꺼내서 확인하느라 지체가 되었더라구요 매니저가 뒤늦게 나와서 주문번호 시간을 보니까 많이 지체가 되어서 조금 격양된 목소리로 음료 어디있냐(이미 만들어놨음)면서 화가 나 보였습니다나중에 저에게 이런식으로 시간 지체되면 저는 그냥 계속 머신 못 잡게하고 잡다한 일만 시킬거라고 화를 내더라구요 저는 이미 머신을 잡아 본 경험도 적고 손님이 몰렸던 적도 없고 와서 그 큰 매장을 매일 닦고 쓸고 제 몸보다 큰 쓰레기 버리고(대형 매장이라 쓰레기 양이 엄청남) 항상 열심히 일했는데 그런 소리를 들으니까 정말 속상했습니다 제가 일을 너무 못하는 탓일까요…",2025-01-26
(컴포즈) 카페 알바 처음인데 레시피,"이번에 레시피 처음받았는데요g(그램), ml 어떤걸 사용해서 음료만드나요?..? 둘다 적혀있어서 만들 때 저울에서 그램따져가며 만드는건지 개량해서 ml 개량하는 건지 모르겠어요 ㅡㅡㅜ+ 프라페 150 60 20  이렇게 적혀있던데 이거 다 단위 g인거 맞죠..?",2025-01-26
알바 눈물…,빵집 홀 혼자 보는데 손님이 왕왕 많았음 ㅠㅠ근데 내 앞뒤로 알바가 다 나가서 사장님 나오시는데 나 끝나기 30분 전에 와서 30분동안 잔소리만 하심 ㅠㅜ중간에 배달이랑 손님 몰릴때 내가 포장하다가 봉지 두개중에 고민하니까 바로 가게전화로 전화해서 큰걸로 하라고… 소름…원래 이렇게 다들 계속 시시티비로 보는지도 모르것고 그때 손님이 빨리 계산해달래서 잠깐 수화기 옆에 놨는데 그때 손님이 너무 몰려서 30분뒤쯤에나 다시 전화드렸는데 오자마자 그걸로 혼나고… 버터 케이크 분명 재고 없다고 적혀있어서 안 꺼냈는데 ㅠㅠ 생크림은 다채움 ㅠㅠ 심지어 명절 직전이라 케이크도 짱짱 많이 나갔는데 ㅠ 매대 청소도 하구 철판도 닦고.. 손님오면 친절하다는 소리도 듣고 짱짱 열심히 했는데 오시자마자 저번주에 시재가 안 맞았는데 그게 내 잘못이 아니었는데 왜 제대로 확인 안하냐고 혼나고 ㅠㅠ 내가 그돈이 거기있는지 어케알아 ㅠㅠ 인수인계도 없옸고 메모에도 안 적혀있었는데 ㅠㅠ 그래두..손님 몰려서 마지막에도 15분정도 더 하고 갔는데 이제 간다니까 손님앞에서 저저번주 일 꺼내서 혼내다가 손님이 계산해달라니까내일 이야기하자는데..진짜 가기싫다…ㅠㅠ 나 이제 한달인데 ㅠㅠㅠㅠ 시시티비로 보시는 것도 무섭고..실수 하나라도 나올까봐 너무 무섭다.. 주말 최저에 주말 대타뛰어도 점심도 안주고 일시키면서…너무행…서운하댬…열심히 하는데…마지막에 명절 잘 보내세요~~이랬는데 내일 안나와? 라고 하는데서 눈물 왕왕…,2025-01-26
수습기간 중 알바 그만두는 통보,"사장님께서 수습기간(최저임금적용기간) 10일이라고 전화로 직접 안내해주셨고 1월 26일이 딱 10일째에요.근로계약서 상으로는 2월 28일까지 근무다라고 계약을 했고, 계약서 내용 중에도 퇴사 30일전에 통보해야한다고 적혀 있었어요.그런데 근로기준법에 수습기간에는 당일 통보도 괜찮다고 나와있는데 뭐가 맞는 걸까요?당장 다음주에 급하게 그만 둬야하는 개인 사정이 생겼는데 한달 더 근무를 해야하는 걸까요??",2025-01-26
신입경비교육 비용부담,경비교육 들으라고 보안업체에서 하는데보통 이런 비용은 회사측에서 부담하지 않나요?3일듣는데 10만원정도 내라하네요,2025-01-26
